region_name,id,division_name,office_name,pincode,district,state_name
"Kurnool Region",1,"Anantapur Division","A Narayanapuram B.O",515004,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",2,"Anantapur Division","Akuledu B.O",515731,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",3,"Anantapur Division","Alamuru B.O",515002,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",4,"Anantapur Division","Allapuram B.O",515766,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",5,"Anantapur Division","Aluru B.O",515415,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",6,"Anantapur Division","Amidyaya S.O",515822,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",7,"Anantapur Division","Ammaladinne S.O",515445,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",8,"Anantapur Division","Anantapur Collectorate S.O",515001,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",9,"Anantapur Division","Anantapur Engg College S.O",515002,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",10,"Anantapur Division","Anantapur H.O",515001,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",11,"Anantapur Division","Ankampalli B.O",515741,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",12,"Anantapur Division","Anumpalli B.O",515775,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",13,"Anantapur Division","Appecharla B.O",515455,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",14,"Anantapur Division","Appilepalli B.O",515766,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",15,"Anantapur Division","Arakatavemula B.O",515445,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",16,"Anantapur Division","Araveedu B.O",515465,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",17,"Anantapur Division","Aravindanagar S.O",515001,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",18,"Anantapur Division","Atmakur(ATP) S.O",515751,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",19,"Anantapur Division","Avuladatla B.O",515867,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",20,"Anantapur Division","Avulanna B.O",515741,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",21,"Anantapur Division","Aydukallu B.O",515763,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",22,"Anantapur Division","Ayyagarlapalli B.O",515767,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",23,"Anantapur Division","Ayyavaripalli B.O",515775,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",24,"Anantapur Division","Ayyavaripalli B.O",515722,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",25,"Anantapur Division","B.N.Halli B.O",515867,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",26,"Anantapur Division","B.T.Project B.O",515863,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",27,"Anantapur Division","Bandameedapalli B.O",515722,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",28,"Anantapur Division","Bandlapalli B.O",515425,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",29,"Anantapur Division","Basapuram B.O",515766,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",30,"Anantapur Division","Basinepalli B.O",515402,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",31,"Anantapur Division","Bavarampalli B.O",515761,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",32,"Anantapur Division","Belguppa S.O",515741,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",33,"Anantapur Division","Belodu B.O",515867,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",34,"Anantapur Division","Bestharapalli B.O",515766,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",35,"Anantapur Division","Bethapalli B.O",515402,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",36,"Anantapur Division","Bhattuvanipalli B.O",515787,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",37,"Anantapur Division","Bhogasamudram B.O",515415,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",38,"Anantapur Division","Bhogasamudram Project S.O",515413,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",39,"Anantapur Division","Bhupasamudram B.O",515867,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",40,"Anantapur Division","Bhyrasamudram B.O",515767,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",41,"Anantapur Division","Bollanaguddem B.O",515870,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",42,"Anantapur Division","Bommaganipalli S.O",515763,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",43,"Anantapur Division","Bommakkapalli B.O",515867,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",44,"Anantapur Division","Bommanahal B.O",515871,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",45,"Anantapur Division","Bondaladinne B.O",515411,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",46,"Anantapur Division","Bondalawada B.O",515425,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",47,"Anantapur Division","Brahma Samudram B.O",515767,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",48,"Anantapur Division","Brahmanapalli B.O",515408,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",49,"Anantapur Division","Brahmanapalli B.O",515401,ANANTHAPUR,"Andhra Pradesh"
"Kurnool Region",50,"Anantapur Division","Brahmasamudram B.O",515871,ANANTHAPUR,"Andhra Pradesh"
